uuid,start_time,end_time,time_offset,sleep_duration,efficiency,deep_sleep,rem_sleep,light_sleep,wake_up_count
3fcb76cd-c228-4f3c-a34c-65710cca1a0c,1777705200000,1777733100000,60,465,90,93,116,232,1
d737f377-8027-47d1-a02e-c32e44c07a87,1777788000000,1777817700000,60,495,89,99,123,247,2
66ca532f-41cb-47e8-9cde-efde348d9942,1777878000000,1777909500000,60,525,88,105,131,262,3
c4707c26-8c9a-4618-a379-d848e400fc35,1777960800000,1777988700000,60,465,90,93,116,232,4
cd18e391-93b0-4ba5-b992-1f5ff6e4e0de,1778050800000,1778080500000,60,495,89,99,123,247,1
a068f96a-2870-4021-a404-646681826ece,1778133600000,1778165100000,60,525,88,105,131,262,2
f5248ef3-0bfb-4bd8-9f84-5a93ab1cd194,1778223600000,1778251500000,60,465,90,93,116,232,3
5bee3c01-a83b-4f67-a38e-d78e057e7804,1778306400000,1778336100000,60,495,89,99,123,247,4
4c6e9972-0b08-4212-9f23-c52ed006a88a,1778396400000,1778427900000,60,525,88,105,131,262,1
05ca3fe9-ffe2-497f-b81a-c0e111e3e62a,1778479200000,1778507100000,60,465,90,93,116,232,2
f8650d91-6043-44fb-b8d2-8dfe73c62de2,1778569200000,1778598900000,60,495,89,99,123,247,3
29f94773-ce95-40c4-8bf6-0850d1f29831,1778652000000,1778683500000,60,525,88,105,131,262,4
69974d4f-5ea0-4341-92b0-a7bf97d8bd8b,1778742000000,1778769900000,60,465,90,93,116,232,1
9520dce7-fd74-4a4b-b615-dbf341a69e41,1778824800000,1778854500000,60,495,89,99,123,247,2
